logdensity,dataset,model
-1.44369979507964,in-sample,functional
-1.4619789844747,in-sample,functional
-1.42757908380892,in-sample,functional
-1.48128204400513,in-sample,functional
-1.52181010711964,in-sample,functional
-1.48706768505023,in-sample,functional
-1.43613890945902,in-sample,functional
-1.4690148646967,in-sample,functional
-1.46661784641209,in-sample,functional
-1.47993261656685,in-sample,functional
-1.51770503147161,in-sample,functional
-1.46921305007523,in-sample,functional
-1.44725482915535,in-sample,functional
-1.49764509885495,in-sample,functional
-1.48704233975402,in-sample,functional
-1.45560388610406,in-sample,functional
-1.45976509734376,in-sample,functional
-1.47857735729044,in-sample,functional
-1.44899680311978,in-sample,functional
-1.48924891023305,in-sample,functional
-1.47797119821253,in-sample,functional
-1.51145410938474,in-sample,functional
-1.44771738890456,in-sample,functional
-1.44963832441331,in-sample,functional
-1.5076708183217,in-sample,functional
-1.46956649644874,in-sample,functional
-1.44566557720772,in-sample,functional
-1.44339894671239,in-sample,functional
-1.50896808475227,in-sample,functional
-1.49383004079027,in-sample,functional
-1.42760919312768,in-sample,functional
-1.44971581204791,in-sample,functional
-1.49187848629768,in-sample,functional
-1.45735412405396,in-sample,functional
-1.47134254583637,in-sample,functional
-1.4775292804333,in-sample,functional
-1.47031929920279,in-sample,functional
-1.45946936036753,in-sample,functional
-1.44098676177327,in-sample,functional
-1.47506426975133,in-sample,functional
-1.45640189159396,in-sample,functional
-1.45950007178737,in-sample,functional
-1.43900163679955,in-sample,functional
-1.48874176492013,in-sample,functional
-1.45329159707581,in-sample,functional
-1.46377446692217,in-sample,functional
-1.46603174974647,in-sample,functional
-1.46019155786662,in-sample,functional
-1.50141231389601,in-sample,functional
-1.45911077526326,in-sample,functional
-1.49589910030232,in-sample,functional
-1.53649782987306,in-sample,functional
-1.43157462661077,in-sample,functional
-1.45682824728816,in-sample,functional
-1.47125723923389,in-sample,functional
-1.47761422161037,in-sample,functional
-1.45652833417693,in-sample,functional
-1.47303902752926,in-sample,functional
-1.46639485898946,in-sample,functional
-1.46890696925514,in-sample,functional
-1.49198772591072,in-sample,functional
-1.46990296242558,in-sample,functional
-1.48593698821413,in-sample,functional
-1.47605108206793,in-sample,functional
-1.46888231695976,in-sample,functional
-1.47971327569781,in-sample,functional
-1.54305598076342,in-sample,functional
-1.44522870724048,in-sample,functional
-1.49868609901503,in-sample,functional
-1.49131235215185,in-sample,functional
-1.54795748763459,in-sample,functional
-1.47120969411034,in-sample,functional
-1.49880467093694,in-sample,functional
-1.50037651250601,in-sample,functional
-1.5097712876444,in-sample,functional
-1.46007470307242,in-sample,functional
-1.45807588759066,in-sample,functional
-1.48405196117468,in-sample,functional
-1.48636986453444,in-sample,functional
-1.45100876115266,in-sample,functional
-1.48364445629159,in-sample,functional
-1.48397003522708,in-sample,functional
-1.47614244448091,in-sample,functional
-1.49252419908757,in-sample,functional
-1.46395847363685,in-sample,functional
-1.47465579722028,in-sample,functional
-1.43335619023509,in-sample,functional
-1.49094762743873,in-sample,functional
-1.49167230315423,in-sample,functional
-1.47400963223927,in-sample,functional
-1.46504751281061,in-sample,functional
-1.46736135921174,in-sample,functional
-1.51860013942662,in-sample,functional
-1.46529991590508,in-sample,functional
-1.52427624703519,in-sample,functional
-1.46346324886895,in-sample,functional
-1.45478674144546,in-sample,functional
-1.49344104432097,in-sample,functional
-1.50376535495062,in-sample,functional
-1.49800324291957,in-sample,functional
-1.48078986074574,in-sample,functional
-1.47303972805026,in-sample,functional
-1.45622517221561,in-sample,functional
-1.45216566193958,in-sample,functional
-1.47428205899086,in-sample,functional
-1.53880055919335,in-sample,functional
-1.44773143564552,in-sample,functional
-1.4385438977014,in-sample,functional
-1.48087793964246,in-sample,functional
-1.47744452702399,in-sample,functional
-1.46522316963782,in-sample,functional
